{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::Redaktion}} : <span class="content">Gesamtheit der Redakteure (einer Zeitung, Rundfunkanstalt o. Ä.)</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Redaktion zu einer Besprechung zusammenrufen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein Mitglied der Redaktion</span></span></li></ul></div>
{{c1::Redaktion}} : <span class="content">Raum oder Räume für die Arbeit der Redakteure</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">es ist niemand mehr in der Redaktion</span></span></div>
{{c1::Redaktion}} : <span class="content">Abteilung, Geschäftsstelle, Büro bei einer Zeitung, einem Verlag, einer Rundfunkanstalt o. Ä., in dem Redakteure arbeiten</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die politische Redaktion einer Zeitschrift leiten</span></span></div>
{{c1::Redaktion}} : <span class="content">Veröffentlichung, [bestimmte] Ausgabe eines Textes</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache</span></p></div>
{{c1::bescheren}} : <span class="content">zu Weihnachten schenken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den Kindern viele schöne Dinge bescheren</span></span></div>
{{c1::bescheren}} : <span class="content">einem bestimmten Personenkreis die Weihnachtsgeschenke austeilen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">erst nach dem Abendbrot bescheren</span></span></div>
{{c1::bescheren}} : <span class="content">zu Weihnachten beschenken</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">selten</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Kleinen wurden mit vielen Spielsachen beschert</span></span></div>
{{c1::bescheren}} : <span class="content">zuteilwerden lassen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Schicksal hat ihm viel Gutes beschert</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ihnen waren keine Kinder beschert</span></span></li></ul></div>
{{c1::bescheren}} : <dd class="content">beschneiden</dd>	
{{c1::anlocken}} : <dd class="content">zu sich locken, heranlocken</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Vögel [mit Futter] anlocken</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">die Musik hatte viele Leute, Schaulustige angelockt</span></span></li></ul></div>
{{c1::nutzen}} : <span class="content">bei etwas von Nutzen sein; für die Erreichung eines Ziels geeignet sein; [jemandem] einen Vorteil, Erfolg, Nutzen bringen, sich zugunsten von jemandem, seiner Unternehmungen o. Ä. auswirken</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">meist: nützen</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Mittel nützt gar nichts</span></span></li><li><span class="beispiel"><span class="font_normal">dein Leugnen nützt jetzt auch nichts mehr</span></span></li><li><span class="beispiel"><span class="font_normal">alle Vorsicht hat nichts genützt</span></span> <span class="font_kursiv">(war umsonst)</span></li><li><span class="beispiel"><span class="font_normal">es nützt alles nichts <span class="font_normal">(umgangssprachlich; </span><span class="font_kursiv">man kann nicht länger zögern, ausweichen</span>), die Sache muss jetzt angepackt werden</span></span></li><li><span class="beispiel"><span class="font_normal">das nützt niemandem</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">seine Sprachkenntnisse haben ihm sehr genützt</span></span></li></ul></div>
{{c1::nutzen}} : <span class="content">nutzbringend, zu seinem Nutzen verwerten; aus etwas durch entsprechende Anwendung oder Verwertung Nutzen ziehen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">meist: nutzen</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">etwas industriell, landwirtschaftlich nutzen</span></span></div>
{{c1::nutzen}} : <span class="content">von einer bestehenden Möglichkeit Gebrauch machen, sie ausnutzen, sich zunutze machen; etwas zu einem bestimmten Zweck benutzen, verwenden</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">meist: nutzen</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Vorteil geschickt nutzen</span></span></li><li><span class="beispiel"><span class="font_normal">die Gunst der Stunde nutzen</span></span></li><li><span class="beispiel"><span class="font_normal">er nutzt jede freie Minute zum Training</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie nutzt jede Gelegenheit, sich hervorzutun</span></span></li></ul></div>
{{c1::ohrfeigen}} : <dd class="content">(jemandem) eine Ohrfeige geben</dd>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemanden ohrfeigen</span></span></div>
{{c1::untergehen}} : <span class="content">hinter dem Horizont verschwinden</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Sonne ist untergegangen</span></span></div>
{{c1::untergehen}} : <span class="content">unter der Wasseroberfläche verschwinden und nicht mehr nach oben gelangen; versinken</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Schiff ging unter</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">seine Worte gingen in Bravorufen unter <span class="font_kursiv">(wurden nicht mehr verstanden)</span></span></span></li></ul></div>
{{c1::untergehen}} : <span class="content">zugrunde gehen; zerstört, vernichtet werden</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">es war, als ob die Welt untergehen wollte</span></span></div>
{{c1::ausgiebig}} : <span class="content">reichlich, in reichem Maße</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sie machte von dem Angebot ausgiebigen Gebrauch</span></span></li><li><span class="beispiel"><span class="font_normal">einen ausgiebigen <span class="font_kursiv">(ausgedehnten) </span>Mittagsschlaf halten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie hatten ausgiebig gefrühstückt</span></span></li></ul></div>
{{c1::ausgiebig}} : <span class="content">ergiebig, viel ausgebend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">veraltend</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ausgiebiges Mehl</span></span></div>
{{c1::verweisen}} : <span class="content">zum Vorwurf machen; vorhalten</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch verwīʒen, althochdeutsch farwīʒan, zu mittelhochdeutsch wīʒen, althochdeutsch wīʒan = strafen, peinigen, verwandt mit <a href="/rechtschreibung/wissen" meta-ref-id="10021877" meta-ref-name="wissen" meta-type="art">wissen</a> und eigentlich = eine Schuld wahrnehmen, ein Vergehen bemerken</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Mutter verwies der Tochter die vorlauten Worte</span></span></div>
{{c1::verweisen}} : <span class="content">verbieten</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch verwīʒen, althochdeutsch farwīʒan, zu mittelhochdeutsch wīʒen, althochdeutsch wīʒan = strafen, peinigen, verwandt mit <a href="/rechtschreibung/wissen" meta-ref-id="10021877" meta-ref-name="wissen" meta-type="art">wissen</a> und eigentlich = eine Schuld wahrnehmen, ein Vergehen bemerken</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemandem seine Verhaltensweise verweisen</span></span></div>
{{c1::verweisen}} : <span class="content">tadeln</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch verwīʒen, althochdeutsch farwīʒan, zu mittelhochdeutsch wīʒen, althochdeutsch wīʒan = strafen, peinigen, verwandt mit <a href="/rechtschreibung/wissen" meta-ref-id="10021877" meta-ref-name="wissen" meta-type="art">wissen</a> und eigentlich = eine Schuld wahrnehmen, ein Vergehen bemerken</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden mild verweisen</span></span></li><li><span class="beispiel"><span class="font_normal">sie verweist die Kinder, wenn sie nicht hören</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein verweisender Blick</span></span></li></ul></div>
{{c1::verweisen}} : <span class="content">auf etwas hinweisen, aufmerksam machen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch verwīsen, zu: wīsen, <a href="/rechtschreibung/weisen" meta-ref-id="10165647" meta-ref-name="weisen" meta-type="art">weisen</a>; mit <a href="/rechtschreibung/verweisen#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (1)</a> seit dem 15. Jahrhundert formal zusammengefallen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden auf die gesetzlichen Bestimmungen, auf die Vorschriften verweisen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein Hinweisschild verweist auf die Einfahrt</span></span></li></ul></div>
{{c1::verweisen}} : <span class="content">veranlassen, sich an eine bestimmte andere Person oder Stelle zu wenden</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content"><a href="/rechtschreibung/verweisen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (2)</a></dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden an die Sekretärin verweisen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Kunde wurde an den Geschäftsführer verwiesen</span></span></li></ul></div>
{{c1::verweisen}} : <span class="content">übergeben, überweisen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content"><a href="/rechtschreibung/verweisen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (2)</a></dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Rechtssprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Rechtsfall an die zuständige Instanz verweisen</span></span></div>
{{c1::verweisen}} : <span class="content">jemandem den weiteren Aufenthalt, das Verbleiben an einem bestimmten Ort verbieten; <a href="/rechtschreibung/hinausweisen#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10175961" meta-ref-name="hinausweisen" meta-type="art">hinausweisen (1)</a></span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content"><a href="/rechtschreibung/verweisen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (2)</a></dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemanden des Landes verweisen</span></span></li><li><span class="beispiel"><span class="font_normal">er wurde aus dem Saal, von der Schule verwiesen</span></span></li><li class="noBottomMargin">(Ballspiele) <span class="beispiel"><span class="font_normal">der Spieler wurde nach einer Tätlichkeit des Platzes/vom Platz verwiesen</span></span> <span class="font_kursiv">(bekam einen Platzverweis)</span></li></ul></div>
{{c1::verweisen}} : <span class="content">auffordern, anweisen, sich an einen bestimmten Ort zu begeben</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content"><a href="/rechtschreibung/verweisen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (2)</a></dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einen Schüler in die Ecke verweisen</span></span></div>
{{c1::verweisen}} : <span class="content"></span>	<div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">jemanden auf die Plätze verweisen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="/rechtschreibung/Platz#b2-Bedeutung-7" meta-ref-anker="#b2-Bedeutung-7" meta-ref-id="10009799" meta-ref-name="Platz" meta-type="art">Platz 7</a></span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">jemanden auf den zweiten, dritten <span class="font_normal">usw.</span> Platz verweisen</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="/rechtschreibung/Platz#b2-Bedeutung-7" meta-ref-anker="#b2-Bedeutung-7" meta-ref-id="10009799" meta-ref-name="Platz" meta-type="art">Platz 7</a></span></span>)</span></li></ul></div>
{{c1::verweisen}} : <span class="content">zu einem bestimmten Verhalten auffordern</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content"><a href="/rechtschreibung/verweisen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10151105" meta-ref-name="verweisen" meta-type="art">verweisen (2)</a></dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">veraltend</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemanden zur Ruhe, zur Ordnung verweisen</span></span></div>
{{c1::zuwider}} : <dd class="content">entgegen</dd>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">dem Abkommen, allen Gepflogenheiten zuwider griff sie doch ein</span></span></div>
{{c1::zuwider}} : <span class="content">jemandes Wünschen entgegengesetzt, gerade nicht entsprechend und seine Abneigung in starkem Maße hervorrufend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er, seine Art, dieser Gedanke, dieses Essen ist mir zuwider</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">es ist ihr zuwider, von anderen abhängig zu sein</span></span></li></ul></div>
{{c1::zuwider}} : <span class="content">entgegenstehend</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Umstände waren seinen Plänen zuwider</span></span></div>
{{c1::zuwider}} : <span class="content">einer Sache widersprechend, mit etwas unvereinbar</span>	
{{c1::umhören}} : <dd class="content">hier und dort zuhörend und nachfragend etwas Bestimmtes zu erkunden suchen</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">hör dich doch mal nach einem guten Restaurant um!</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich werde mich mal [danach] umhören, was durchschnittlich dafür gezahlt wird</span></span></li></ul></div>
{{c1::letztendlich}} : <dd class="content">schließlich</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">wir haben uns letztendlich doch dazu entschlossen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">letztendlich bin ich davon abgekommen</span></span></li></ul></div>
{{c1::Aufsehen}} : <dd class="content">durch etwas Außer- oder Ungewöhnliches ausgelöste allgemeine starke Beachtung, Aufregung, Verwunderung, Überraschung</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das Buch verursachte großes Aufsehen</span></span></li><li><span class="beispiel"><span class="font_normal">ein viel, großes Aufsehen erregender Film</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Prozess ging ohne Aufsehen über die Bühne</span></span></li></ul></div>
{{c1::Verbot}} : <span class="content">Befehl, Anordnung, etwas Bestimmtes zu unterlassen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein strenges, polizeiliches, behördliches, ärztliches Verbot</span></span></li><li><span class="beispiel"><span class="font_normal">ein Verbot aufheben, befolgen, einhalten, beachten, übertreten</span></span></li><li><span class="beispiel"><span class="font_normal">sich an ein Verbot halten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">er hat gegen mein ausdrückliches Verbot geraucht</span></span></li></ul></div>
{{c1::Verbot}} : <span class="content">Anordnung, nach der etwas nicht existieren darf</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">das gesetzliche Verbot der Kinderarbeit, von Kinderpornografie</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das weltweite Verbot von Atomwaffen</span></span></li></ul></div>
{{c1::Geständnis}} : <dd class="content">das Eingestehen einer Schuld, eines Vergehens [vor Gericht oder auf der Polizeibehörde]</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein erzwungenes Geständnis</span></span></li><li><span class="beispiel"><span class="font_normal">ein [umfassendes] Geständnis ablegen</span></span></li><li><span class="beispiel"><span class="font_normal">sein Geständnis widerrufen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ich muss dir ein Geständnis machen</span></span> <span class="font_kursiv">(etwas sagen, was ich bisher verschwiegen habe)</span></li></ul></div>
{{c1::hegen}} : <span class="content">(Tiere und Pflanzen) mit entsprechenden Maßnahmen pflegen und schützen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">besonders Forstwirtschaft, Jagdwesen</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">neu angelegte Baumkulturen hegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Förster hegt den Wald, das Wild</span></span></li></ul></div>
{{c1::hegen}} : <span class="content">jemandem, einer Sache sorgfältige Pflege angedeihen lassen; sorgsam über jemanden, etwas wachen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie verbringt ihre Tage fast nur noch damit, ihre Antiquitäten zu hegen</span></span></div><div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><span class="iwtext">hegen und pflegen</span> <span class="content">(<span class="iw_term">1. </span><span class="iw_rumpf_info"><span class="font_normal">mit liebevoller Fürsorge umgeben: <span class="beispiel"><span class="font_normal">als er krank war, hat sie ihn gehegt und gepflegt [wie eine Mutter ihr Kind]</span></span></span></span>.  <span class="iw_term">2. </span><span class="iw_rumpf_info"><span class="font_normal">sich in besonderer Weise bemühen, etwas aufrechtzuerhalten: <span class="beispiel"><span class="font_normal">seinen Ruf hegen und pflegen</span></span></span></span>.)</span></div>
{{c1::hegen}} : <span class="content">als Empfindung, als Vorhaben o. Ä. in sich tragen, bewahren; nähren</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Abneigung, ein Misstrauen gegen jemanden hegen</span></span></li><li><span class="beispiel"><span class="font_normal">Achtung für jemanden hegen</span></span></li><li><span class="beispiel"><span class="font_normal">Zweifel hegen</span></span> <span class="font_kursiv">(zweifeln)</span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">bestimmte Erwartungen hegen</span></span> <span class="font_kursiv">(etwas Bestimmtes erwarten)</span></li></ul></div>
{{c1::lösen}} : <span class="content">bewirken, dass etwas lose wird, nicht mehr fest verbunden ist, nicht mehr [an]haftet</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Taue lösen</span></span></li><li><span class="beispiel"><span class="font_normal">das Fleisch von den Knochen lösen</span></span></li><li><span class="beispiel"><span class="font_normal">dieses Mittel löst den Schmutz</span></span></li><li>&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">sich aus jemandes Umarmung lösen</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">den Blick von jemandem, etwas nicht lösen können</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">lose werden, nicht mehr fest verbunden sein, nicht mehr [an]haften; abgehen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">die Tapete löst sich [von der Wand]</span></span></li><li><span class="beispiel"><span class="font_normal">eine Lawine hat sich gelöst</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">ihre Blicke lösen sich voneinander</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">sich von etwas befreien, trennen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Gestalt löste sich aus der Gruppe, aus der Dunkelheit</span></span></li><li><span class="beispiel"><span class="font_normal">sich aus dem Elternhaus, von seinen Freunden lösen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sich aus einer Verpflichtung, von Vorurteilen lösen</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">(vom Hund) seine Notdurft verrichten</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Fachsprache</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">der Hund suchte nach einem Platz, an dem er sich lösen konnte</span></span></div>
{{c1::lösen}} : <span class="content">lockern, lockerer machen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Schraube, die Krawatte, die Haare lösen</span></span></li><li><span class="beispiel"><span class="font_normal">die Handbremse lösen</span></span></li><li><span class="beispiel"><span class="font_normal">Milch mit Honig löst den Schleim, den Husten</span></span></li><li><span class="beispiel"><span class="font_normal">die Spritze hat den Krampf gelöst</span></span></li><li class="noBottomMargin">&lt;in übertragener Bedeutung&gt;: <span class="beispiel"><span class="font_normal">der Wein löste ihr die Zunge</span></span> <span class="font_kursiv">(brachte sie zum Reden)</span></li></ul></div>
{{c1::lösen}} : <span class="content">lose werden, sich lockern</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Schraube löst sich</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">der Krampf, mein Husten hat sich gelöst</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">durch Nachdenken herausfinden, wie etwas Schwieriges zu bewältigen ist; etwas klären, entwirren</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein Rätsel lösen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das Problem, der Widerspruch konnte nicht gelöst werden</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">erkennen lassen, wie etwas Schwieriges zu bewältigen ist; sich klären, entwirren</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">das Rätsel, das Problem hat sich gelöst</span></span></div>
{{c1::lösen}} : <span class="content">durch bestimmte Rechenschritte und die Anwendung rechnerischer Kenntnisse zum Ergebnis, zur <a href="/rechtschreibung/Loesung#b2-Bedeutung-1d" meta-ref-anker="#b2-Bedeutung-1d" meta-ref-id="10056478" meta-ref-name="Loesung" meta-type="art">Lösung (1d)</a> von etwas kommen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine Aufgabe, eine Gleichung lösen</span></span></div>
{{c1::lösen}} : <span class="content">auflösen, annullieren, für nichtig erklären</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Vertrag, eine Verbindung lösen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie lösten ihre Beziehungen</span></span></li></ul></div>
{{c1::lösen}} : <span class="content">zergehen lassen, [in einer Flüssigkeit] auflösen, verteilen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">in Wasser gelöste Mineralien</span></span></div>
{{c1::lösen}} : <span class="content">zergehen, sich auflösen, sich verteilen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Salz löst sich in Wasser</span></span></div>
{{c1::lösen}} : <span class="content">versehentlich ausgelöst werden</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich lösen</dd></dl></div><div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">plötzlich löste sich ein Schuss</span></span></div>
{{c1::lösen}} : <span class="content">(einen Berechtigungsschein) käuflich erwerben</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">eine Karte lösen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Fahrscheine [am Automaten, im Zug] lösen</span></span></li></ul></div>
{{c1::wild}} : <span class="content">nicht domestiziert; nicht kultiviert, nicht durch Züchtung verändert; wild lebend; wild wachsend</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">wilde Erdbeeren, Rosen, Pferde</span></span></li><li><span class="beispiel"><span class="font_normal">wilder Apfel <span class="font_kursiv">(Holzapfel)</span></span></span></li><li><span class="beispiel"><span class="font_normal">wilde <span class="font_kursiv">(nicht veredelte) </span>Triebe</span></span></li><li><span class="beispiel"><span class="font_normal">wilder Honig <span class="font_kursiv">(Honig von wilden Bienen)</span></span></span></li><li><span class="beispiel"><span class="font_normal">wildes Tier <span class="font_kursiv">(größeres, gefährlich wirkendes, nicht domestiziertes Tier, besonders größeres Raubtier)</span></span></span></li><li><span class="beispiel"><span class="font_normal">er stürzte sich auf sie wie ein wildes Tier <span class="font_kursiv">(völlig enthemmt und nur dem Trieb folgend)</span></span></span></li><li><span class="beispiel"><span class="font_normal">die Himbeeren wachsen hier wild</span></span></li><li><span class="beispiel"><span class="font_normal">wild wachsende Pflanzen, Arten</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">wild lebende Tiere, Pferde</span></span></li></ul></div>
{{c1::wild}} : <span class="content">nicht zivilisiert; auf niedriger Kulturstufe stehend</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">veraltend, sonst abwertend</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">wilde Stämme</span></span></div>
{{c1::wild}} : <span class="content">unzivilisiert, nicht gesittet</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">abwertend</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein wilder Haufen</span></span></li><li><span class="beispiel"><span class="font_normal">wilde Gesellen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">dort herrschen wilde Sitten</span></span></li></ul></div>
